ensembl_id	snoRNAs	Expression_level	Cancer	Bladder	Brain	Breast_aggressive	Breast_normal	Cervical	Colon	Gallbladder	Gastric	Hepatocellular	Leukemia	Lung	Myeloma	Osteosarcoma	Ovarian	Prostate	Renal	Reference
	SNORD75	Increased/Decreased	GBC/LC	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8699045/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7140444/
	SNORD76/U76	Increased/Decreased	HCC/GBM/NSCLC/ccRCC	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	3	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5390076/ https://pubmed.ncbi.nlm.nih.gov/28578939/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7011154/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/
ENSG00000200879	SNORD14E	Increased	CRC	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	https://www.sciencedirect.com/science/article/pii/S0344033819330158?via%3Dihub
ENSG00000201950	SNORD113-9		BLCA	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7350589/
ENSG00000202252	SNORD14C		SCC/Larynx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/
ENSG00000206754	SNORD101		Sarcoma	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7541128/#cam43361-sup-0007
ENSG00000212445/ENSG00000209582	SNORA48		TNBC	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub
ENSG00000212493	SNORD19		Sarcoma	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7541128/#cam43361-sup-0007
ENSG00000212588/ENSG00000212517	SNORA26		Sarcoma	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7541128/#cam43361-sup-0007
ENSG00000235284/ENSG00000231587	SNORD62B		Sarcoma	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7541128/#cam43361-sup-0007
ENSG00000238862	SNORD19B		HCC/BLCA	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7350589/
ENSG00000252542	SNORD36C		HCC	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/
ENSG00000277370	SNORD49A/U49A		BLCA	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7350589/
																				
																				
																				
